"","locusID","mean_dropout_temp1","sd_temp1","mean_dropout_temp2","sd_temp2"
"1","BM47",0.0538766428571429,0.114891202993633,0.0210843529411765,0.0382050976636973
"2","BMS941",0.0465204285714286,0.0865153659075074,0.0187297647058824,0.0483999509730245
"3","BMS601",0.0385008571428571,0.051737528749013,0.0830951176470588,0.119035995937092
"4","BMS510",0.0334513571428571,0.0628001741700269,0.0400897647058824,0.0741979898215995
"5","ILSTS102",0.0326563571428571,0.0707752576721198,0.0194601176470588,0.0450019797174001
"6","BMS1355",0.0325668571428571,0.0651310576676066,0.00610035294117647,0.0238171823610109
"7","IL4",0.0325545,0.0717301504783996,0.026807,0.0662873927059286
"8","BMS1675",0.0317213571428571,0.0549546103288987,0.0134578235294118,0.0381166157325701
"9","INRA133",0.0302585,0.0428247338305079,0.0416167647058824,0.0681573419701882
"10","BMS410",0.0286402142857143,0.0510621621196671,0.0205431176470588,0.0704372050809109
"11","RM372",0.0286259285714286,0.0520573022254756,0.0192600588235294,0.0419620018267578
"12","INRA194",0.0278027857142857,0.0555382852705834,0.0373523529411765,0.056676060066113
"13","BMS1001",0.0275326428571429,0.071799071931657,0.025465,0.0418848715095916
"14","BM1862",0.0263372857142857,0.0464375404477365,0.0235638235294118,0.0414618284965752
"15","BMS1074",0.024469,0.0540721472479131,0.0155068823529412,0.0344767533834074
"16","BM2830",0.023631,0.0374902331363168,0.00790417647058824,0.032491349676174
"17","BMS1862",0.0227477142857143,0.0515220078956983,0.0427780588235294,0.0740836137123711
"18","BMS1315",0.022704,0.0630028899984266,0.0154505882352941,0.0197763463165559
"19","SPS115",0.0211247857142857,0.0519608717582146,0.0298517058823529,0.0583280122644394
"20","BL1036",0.0197309285714286,0.0457226043330266,0.0101805882352941,0.027082567765213
"21","INRA037",0.0186642857142857,0.0413818474760066,0.0228775294117647,0.033475337041092
"22","BM4440",0.0183277142857143,0.0265738991534886,0.0223469411764706,0.0617658869658959
"23","BMS1747",0.0181321428571429,0.0334925013510077,0.0387692352941176,0.0553938567075915
"24","BMS527",0.0179581428571429,0.0292402307258527,0.00615011764705882,0.0108183679272936
"25","BMS528",0.016237,0.0481871016990423,0.0106225294117647,0.0302365401648354
"26","BM757",0.0138327857142857,0.0340466717546067,0.00767547058823529,0.0186457893709198
"27","HUJ246",0.0136687142857143,0.0273663118940298,0.0499031176470588,0.0724295365052152
"28","BMS812",0.0133248571428571,0.0283386878607731,0.0156323529411765,0.0226282016628067
"29","BM1824",0.0131211428571429,0.0297756303707918,0.0192741176470588,0.035656250291643
"30","BM711",0.0130430714285714,0.0289734515334942,0.0243533529411765,0.0457228320958758
"31","BM1706",0.0125905714285714,0.0190964837750678,0.0112242941176471,0.0302833785387395
"32","BMS2639",0.00936621428571429,0.0214645577179562,0.005733,0.0196045729869334
"33","URB011",0.00922771428571429,0.0217549779994888,0.126884470588235,0.203104849952899
"34","AGLA232",0.00877735714285714,0.0187074040488586,0.00706147058823529,0.0164254090440605
"35","BMS2258",0.00873242857142857,0.0244150064752564,0.00506794117647059,0.0142817369587464
"36","TGLA44",0.00846528571428571,0.0195234329792868,0.00414629411764706,0.00701153309523589
"37","BMS1716",0.00844442857142857,0.0164808260001843,0.00667217647058824,0.020781364350769
"38","BM720",0.008098,0.0123435373062493,0.0234753529411765,0.0425793582926944
"39","BMS1857",0.0071265,0.0118971952851858,0.0187971764705882,0.0251950852356052
"40","BM4107",0.00660614285714286,0.0121344263143348,0.0171857647058824,0.0366678962147568
"41","BMS1172",0.00554235714285714,0.0201257956578774,0.0155992352941176,0.0314879962258029
"42","BM2113",0.00530842857142857,0.0153061936016577,0.00783517647058823,0.017133649411448
"43","TGLA53",0.005264,0.0159401937059941,0.0288970588235294,0.0578249306154692
"44","BMC4214",0.00402935714285714,0.00873308104593935,0.0149491764705882,0.0283131300023401
"45","BMS1117",0.00387764285714286,0.00699705492560035,0.00862576470588235,0.0129837521614969
"46","BM1225",0.00368764285714286,0.00664638465757765,0.0208487058823529,0.0395919402731868
"47","TGLA122",0.001899,0.00710454393057981,0.0190539411764706,0.0599139037009259
"48","BM4311",0.000773785714285714,0.00268524424268206,0.0419971764705882,0.0750759271639679
"49","BM17132",0.0007595,0.00253607212194218,0.0256017647058824,0.0500267561804798
