"","Herd","QWood","QPlains"
"1","EINPP","0.023±0.017","0.977±0.017"
"2","EINPW","0.983±0.017","0.017±0.017"
"3","ETH","0.986±0.005","0.014±0.005"
"4","HZ","0.985±0.01","0.015±0.01"
"5","MBS","0.898±0.12","0.102±0.12"
"6","NORD","0.98±0.014","0.02±0.014"
"7","RL","0.652±0.084","0.348±0.084"
"8","WAB","0.244±0.102","0.756±0.102"
"9","WBNPGR","0.736±0.13","0.264±0.13"
"10","WBNPHC","0.781±0.16","0.219±0.16"
"11","WBNPLB","0.789±0.055","0.211±0.055"
"12","WBNPNY","0.875±0.095","0.125±0.095"
"13","WBNPPAD","0.66±0.164","0.34±0.164"
"14","WENT","0.859±0.077","0.141±0.077"
