"","Herd","QWood","QPlains"
"1","WBNPGR","0.738±0.133","0.262±0.133"
"2","WBNPHC","0.781±0.158","0.219±0.158"
"3","WBNPLB","0.777±0.053","0.223±0.053"
"4","WBNPNY","0.872±0.09","0.128±0.09"
"5","WBNPPAD","0.65±0.166","0.35±0.166"
"6","WENT","0.837±0.054","0.163±0.054"
