"","Herd","QWood","QPlains"
"1","WBNPGR","0.952±0.058","0.048±0.058"
"2","WBNPHC","0.973±0.039","0.027±0.039"
"3","WBNPLB","0.972±0.058","0.028±0.058"
"4","WBNPNY","0.991±0.013","0.009±0.013"
"5","WBNPPAD","0.942±0.072","0.058±0.072"
"6","WENT","0.976±0.033","0.024±0.033"
