"Herd","Observed_Diff","P_Value","adj_p_value"
"NAH",-0.0728730776264209,0.001,0.00163636363636364
"WAB",-0.123721615938273,0.001,0.00163636363636364
"WENT",-0.112241533243473,0.002,0.003
"NORD",-0.0927381956673732,0.001,0.00163636363636364
"RL",-0.0772985443027376,0.001,0.00163636363636364
"HZ",-0.0870509832873101,0.001,0.00163636363636364
"WBNPGR",0.000453969985556801,0.326,0.345176470588235
"EINPW",-0.0696732200582326,0.001,0.00163636363636364
"ETH",-0.076495512028912,0.001,0.00163636363636364
"WBNPPAD",0.0211247730835258,0.08,0.09
"MBS",-0.03628385246328,0.001,0.00163636363636364
"WBNPLB",-0.0169088310389518,0.015,0.018
"WBNPNY",-0.0326506397740561,0.001,0.00163636363636364
"AISH",-0.0847589256888246,0.001,0.00163636363636364
"WBNPHC",-0.00290520212039891,0.412,0.412
"CL",-0.150089993003152,0.001,0.00163636363636364
"WBNPC2",0.0192601555370897,0.015,0.018
"WBNPC1",-0.0169163581365896,0.01,0.0138461538461538
