"Locus","AISH","CL","EINPP","EINPW","ETH","HZ","MBS","NAH","NORD","RL","WAB","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT"
"BMS528","0.7780","1.0000","0.7274","0.9123","0.8938","1.0000","0.9472","0.6128","1.0000","0.7572","1.0000","0.4105","0.7290","0.9835","0.9152","0.6731","1.0000"
"BMS601","1.0000","1.0000","0.2781","0.9123","0.8938","1.0000","0.9472","0.6897","1.0000","0.7224","1.0000","0.4105","0.4181","0.9105","0.8464","0.9246","1.0000"
"BMS812","0.8765","0.9045","0.9977","0.9387","0.8938","1.0000","0.9472","0.7778","1.0000","1.0000","1.0000","0.8464","0.7156","0.9502","0.4606","0.9052","1.0000"
"BMS941","0.7780","1.0000","0.9488","1.0000","0.8938","1.0000","0.9472","0.9621","1.0000","1.0000","1.0000","0.4105","0.8873","0.9105","0.5009","0.9623","1.0000"
"HUJ246","0.9820","1.0000","1.0000","1.0000","1.0000","0.3456","0.9472","0.6128","1.0000","1.0000","1.0000","0.3944","0.4181","0.9105","0.8389","0.9623","1.0000"
"IL4","0.9820","0.9714","0.3273","0.6448","1.0000","1.0000","1.0000","0.7778","1.0000","1.0000","1.0000","0.4530","0.8873","0.9502","0.0784","0.9838","1.0000"
"ILSTS102","1.0000","1.0000","0.2303",NA,NA,"1.0000","1.0000","0.6128",NA,"1.0000","1.0000","1.0000","0.8873","0.9342","1.0000","0.9290",NA
"INRA037","0.8765","1.0000","0.3273","0.9373","1.0000","1.0000","1.0000","0.7778","1.0000","1.0000","1.0000","0.6613","0.8873","0.9105","0.8768","0.7546","1.0000"
"INRA133","0.7780","0.9714","0.9488","0.9373","0.8938","1.0000","0.9472","0.6003","1.0000","1.0000","1.0000","0.3944","0.7625","0.9105","0.7146","0.9623","1.0000"
"INRA194","0.7941","0.9045","0.9072","0.9387","0.8938","1.0000","0.9626","0.6128","1.0000","1.0000","1.0000","0.7964","0.7156","0.6591","0.2515","0.6207","1.0000"
"RM372","0.9820","0.9714","0.9488","0.9123","1.0000","1.0000","1.0000","0.7778","1.0000","0.1920","1.0000","1.0000","0.6212","0.9342","0.1005","0.9623","1.0000"
"SPS115","1.0000","1.0000","0.2781","0.9373","1.0000","1.0000","0.9472","0.6897","1.0000","1.0000","1.0000","0.6081","0.8873","0.9835","0.2381","0.6731","1.0000"
"TGLA122","0.8765","1.0000","0.9488","0.9373","1.0000","1.0000","0.9472","0.6003","1.0000","1.0000","1.0000","0.3944","0.7038","0.6591","1.0000","0.9246","1.0000"
"TGLA44","0.7780",NA,"0.9488","1.0000","1.0000","1.0000","1.0000","0.7778","1.0000","1.0000","1.0000","0.8165","0.8873","0.7851","0.7146","0.9623","1.0000"
"TGLA53","0.7780","0.9714","0.6547","0.7325","0.8938","1.0000","0.9472","0.6128","1.0000","1.0000","1.0000","0.8554","0.7156","0.6591","0.8389","0.8523","1.0000"
"URB011","0.9404","0.9714","0.9488","1.0000","0.8938","1.0000","0.9472","1.0000","0.2585","1.0000","1.0000","0.3944","0.6212","0.9502","0.8069","0.7546","1.0000"
