"","Herd","QC1","QC2"
"1","WBNPGR","0.181±0.189","0.819±0.189"
"2","WBNPHC","0.407±0.346","0.593±0.346"
"3","WBNPLB","0.647±0.371","0.353±0.371"
"4","WBNPNY","0.837±0.189","0.163±0.189"
"5","WBNPPAD","0.181±0.184","0.819±0.184"
"6","WENT","0.142±0.095","0.858±0.095"
