"","Herd","QWood","QPlains"
"1","WBNPGR","0.053±0.065","0.947±0.065"
"2","WBNPHC","0.031±0.042","0.969±0.042"
"3","WBNPLB","0.028±0.058","0.972±0.058"
"4","WBNPNY","0.009±0.011","0.991±0.011"
"5","WBNPPAD","0.064±0.077","0.936±0.077"
"6","WENT","0.024±0.037","0.976±0.037"
