"","Herd","QWood","QPlains"
"1","WBNPGR","0.737±0.132","0.263±0.132"
"2","WBNPHC","0.773±0.159","0.227±0.159"
"3","WBNPLB","0.777±0.053","0.223±0.053"
"4","WBNPNY","0.872±0.09","0.128±0.09"
"5","WBNPPAD","0.649±0.166","0.351±0.166"
"6","WENT","0.837±0.055","0.163±0.055"
