"Population","Locus.1","Locus.2","p.value","std.err","switches","p.adj_herd"
"EINPP","BM1824","INRA037",8.2e-05,6.2e-05,62199,0.048216
"EINPP","BM757","SPS115",0,0,18937,0
"WBNPGR","BMS1001","IL4",0,0,24169,0
"WBNPHC","BMS1857","IL4",0,0,5006,0
"WBNPNY","AGLA232","BMS1315",0,0,27811,0
"WBNPPAD","BM1225","BMS410",0,0,17045,0
"WBNPPAD","BMS410","BMS812",4e-05,4e-05,25452,0.01568
"WBNPPAD","BM1225","IL4",0,0,8598,0
