"","locusID","mean_dropout_temp1","sd_temp1","mean_dropout_temp2","sd_temp2"
"1","BM47",0.0526475,0.11477474654547,0.0203910588235294,0.0377403161411484
"2","BMS941",0.0457332142857143,0.0858914695918219,0.0215913529411765,0.0574689375901682
"3","BMS601",0.0383852857142857,0.0517251786276851,0.0879082941176471,0.123764204701806
"4","BMS1355",0.0333760714285714,0.0662995565624622,0.00427494117647059,0.0161829270663197
"5","ILSTS102",0.0330017142857143,0.0706943831110404,0.0180990588235294,0.0438452686778611
"6","BMS510",0.0327202857142857,0.0626957654961071,0.0420727058823529,0.0669878443607166
"7","IL4",0.0317302857142857,0.0703214984333531,0.0190108235294118,0.0545706804431593
"8","BMS1675",0.0311918571428571,0.0550829908855819,0.0166294117647059,0.0452281190895924
"9","INRA133",0.0293868571428571,0.0417000857292185,0.0363434705882353,0.0541463029025501
"10","BMS410",0.028764,0.051151499824616,0.0190314705882353,0.0648509137870447
"11","INRA194",0.0281176428571429,0.0556075834889273,0.0541625294117647,0.0890888110294424
"12","RM372",0.0275565,0.0501086462948262,0.0144575294117647,0.0334842179188899
"13","BMS1001",0.0275176428571429,0.0718616272585533,0.0236725882352941,0.0420048740476311
"14","BM1862",0.0259789285714286,0.0465307596814512,0.0245988823529412,0.0473142599988132
"15","BMS1074",0.023566,0.0543189430394506,0.0113700588235294,0.0240181711352847
"16","BM2830",0.0231665,0.0370681702330055,0.00973823529411765,0.0287189602321563
"17","BMS1315",0.0225510714285714,0.063149625611247,0.0129279411764706,0.019042648097332
"18","BMS1862",0.0221087857142857,0.050964122496847,0.0429146470588235,0.0626398529561464
"19","SPS115",0.0207873571428571,0.0523254060465809,0.0243768823529412,0.0463668582110142
"20","BM4440",0.020114,0.0315875915730309,0.015991,0.0528975384292596
"21","BL1036",0.019725,0.0456537150059681,0.0126177058823529,0.0288287526671826
"22","BMS527",0.0194411428571429,0.0320819379206938,0.006117,0.0107810984945876
"23","INRA037",0.0184401428571429,0.0420072306172624,0.0176621176470588,0.028068858709169
"24","BMS1747",0.0171431428571429,0.0316620380481522,0.0407586470588235,0.065300412541711
"25","BMS528",0.0162570714285714,0.0482050552351646,0.0167991764705882,0.0368865259431464
"26","BMS812",0.0133017857142857,0.0283336527395593,0.0122274705882353,0.0217266132430875
"27","BM757",0.0131596428571429,0.0340156044861023,0.00642594117647059,0.0171271360217879
"28","BM1824",0.0129920714285714,0.0298772055882697,0.0259752352941176,0.049583616373669
"29","BM711",0.0128046428571429,0.0291098374400427,0.0216653529411765,0.0408629974119942
"30","HUJ246",0.0127777857142857,0.0266880505244707,0.0493285882352941,0.0570091037555174
"31","BM1706",0.0124315,0.018923818803703,0.0119450588235294,0.0301792931131401
"32","URB011",0.0117167857142857,0.0302194920569708,0.120191647058824,0.211755694768447
"33","BMS2258",0.00886292857142857,0.024363050880899,0.004687,0.0102542705859559
"34","TGLA44",0.00841621428571429,0.0195231567244903,0.003597,0.00649875395749062
"35","BM720",0.00804992857142857,0.01281202724885,0.0255935294117647,0.0519057868042158
"36","BMS2639",0.00777592857142857,0.017096095611231,0.00697223529411765,0.0186883283914366
"37","AGLA232",0.00746092857142857,0.0171532327361987,0.006244,0.013479754161334
"38","BMS1716",0.0073095,0.015753990814296,0.00651588235294118,0.0205706166195934
"39","BMS1857",0.0062755,0.0109524880892952,0.0165664117647059,0.023058255287041
"40","BMS1172",0.00555135714285714,0.020133802688732,0.0176984117647059,0.0336237831788357
"41","BM2113",0.00518314285714286,0.0148953709528892,0.00893005882352941,0.0193995347607571
"42","TGLA53",0.00515328571428571,0.0159843463735309,0.0226142941176471,0.049049635525869
"43","BM4107",0.00509214285714286,0.00960510461126825,0.0174063529411765,0.035976974697265
"44","BMC4214",0.00429678571428571,0.00902565000581523,0.014929,0.0282793926362466
"45","BMS1117",0.00403642857142857,0.00698490168109083,0.00715605882352941,0.0172828182361507
"46","BM1225",0.00357164285714286,0.00638956091674469,0.023067,0.0643686238385986
"47","TGLA122",0.00188528571428571,0.00705351758866641,0.0120788235294118,0.0355927752785507
"48","BM17132",0.00103057142857143,0.00313522073113952,0.027404,0.0499066017100944
"49","BM4311",0.000780642857142857,0.00271674410921328,0.0363374705882353,0.0639769415894485
