"Locus","AISH","CL","EINPP","EINPW","ETH","HZ","MBS","NAH","NORD","RL","WAB","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT"
"AGLA232","0.9820","0.9565","0.9488","0.6560","0.9845","0.9206","0.9843","0.7153","1.0000","1.0000","0.0034*","0.7944","0.5364","0.8777","0.9527","0.9500","0.5543"
"BL1036","0.8765",NA,"0.6122","1.0000","0.9295","0.9206","0.9843","1.0000","1.0000","1.0000","0.0331*","0.9587","0.8692","0.9265","0.8927","0.8093","1.0000"
"BM1225","0.7941","0.9084","0.9488","0.9373","0.9635","0.9206","1.0000","0.3078","1.0000","0.9370","0.2882","0.4474","0.8012","0.6112","0.7143","0.5831","0.5543"
"BM1706","0.8765","0.8611","0.6547","0.9387","0.9295","1.0000","1.0000","0.3078","1.0000","1.0000","0.6608","0.9728","0.2662","0.7909","0.9213","0.5831","0.9862"
"BM17132","0.7780","0.3136","0.9488","1.0000","0.9295","0.9740","0.9472","0.3078","1.0000","0.9370","0.0331*","0.2582","0.8056","0.6071","0.3042","0.8834","1.0000"
"BM1824","0.8765","0.5519","0.3273","0.6560","0.9295","0.9206","0.6512","0.9669","1.0000","0.9370","0.0331*","0.5912","0.9584","0.6431","0.2268","0.8834","1.0000"
"BM1862","0.9820","1.0000","0.6258","0.9373","1.0000","0.9206","1.0000","0.4873","1.0000","0.9370","0.0143*","0.4984","0.8692","0.3518","0.6102","0.5831","1.0000"
"BM2113","0.7780","0.5519","0.3273","0.9123","1.0000","1.0000","0.9843","0.6233","1.0000","0.5310","1.0000","0.2582","0.8692","0.7909","0.6744","0.5831","0.9862"
"BM2830","0.7941","1.0000","0.7062","0.9387","0.9295","0.9206","0.9472","0.3078","1.0000","0.6631","0.0220*","0.6948","0.5452","0.8197","0.9454","0.9892","0.9862"
"BM4107","0.9627","1.0000","0.3273","0.6560","0.9845","0.9206","0.9843","0.4612","1.0000","1.0000","1.0000","0.2582","0.7769","0.8973","0.5716","0.9892","1.0000"
"BM4311","0.7780","0.1097","0.8707","0.9387","0.9295","0.9206","0.9472","0.3078","1.0000","0.7621","0.4764","0.4548","0.3320","0.7909","0.9454","0.9500","0.9862"
"BM4440","0.7780","0.5519","0.9488","0.6560","0.9845","0.9740","0.9843","0.9669","1.0000","0.7915","0.5466","0.6597","1.0000","0.8777","0.9527","0.7101","1.0000"
"BM47",NA,NA,"0.9488","1.0000",NA,NA,"1.0000","1.0000",NA,"1.0000",NA,"0.7189","1.0000","0.1237","1.0000","0.8093",NA
"BM711","1.0000","1.0000","0.3273","1.0000","1.0000","0.9206",NA,"0.3078","1.0000","1.0000","0.7940","0.7528","0.7419","0.6071","1.0000","0.8834","1.0000"
"BM720","0.7780","0.1739","0.9488","0.9387","0.9295","0.9206","0.9843","0.0833","1.0000","1.0000","0.0123*","0.8212","0.2662","0.5096","0.4678","0.9892","0.9862"
"BM757","0.4512","1.0000","0.6949","0.9387","0.9845","1.0000","0.9472","0.7153","1.0000","0.7219",NA,"0.6597","0.9584","0.7909","0.9726","0.8834","0.9862"
"BMC4214","0.4512","1.0000","0.6547","0.9123","0.9295","1.0000","0.9843","0.0833","1.0000","1.0000","1.0000","0.5184","0.8056","0.6071","0.9454","0.9500","1.0000"
"BMS1001","0.6106","0.1770","0.9488","0.1200","0.9295","1.0000","0.6512","0.3078","1.0000","0.9370","0.0331*","0.6597","0.6454","0.1237","1.0000","0.5831","0.9862"
"BMS1074","0.7780","1.0000","0.9488","1.0000","0.9845","0.9206","0.9472","0.4300","1.0000","1.0000","0.0544","0.3026","0.8692","0.8710","0.5712","0.6084","1.0000"
"BMS1117","0.7780","0.9084","0.9488","0.8893","0.9295","0.9206","0.9472","1.0000","1.0000","0.4684","1.0000","0.8212","0.2912","1.0000","0.5712","0.9892","1.0000"
"BMS1172","0.7780","0.9220","0.5576","0.6560","0.9295","1.0000","0.9472","1.0000","1.0000","0.7915","0.1614","0.6948","0.9138","0.7909","0.3042","0.9892","0.9862"
"BMS1315","0.7780","0.4757","0.2303","0.9387","0.9845","0.9206","0.9843","0.3078","1.0000","0.9370","0.2882","0.9512","0.2613","0.9265","0.8211","0.8834","1.0000"
"BMS1355","0.7780","1.0000","0.5258","0.9387","1.0000","1.0000","0.9472","0.4230","1.0000","0.9370","0.8233","0.8212","0.8056","0.6071","0.6884","0.9892","1.0000"
"BMS1675","0.8765","1.0000","0.9488","0.9387","0.4418","1.0000","1.0000","0.6456","1.0000","0.7915",NA,"0.8409","0.4178","1.0000","1.0000","1.0000","0.9862"
"BMS1716","1.0000","1.0000","0.5576","0.9387","0.9845","1.0000","0.9843","0.3078","1.0000","0.7770","0.0902","0.8212","0.9195","0.6071","0.6102","0.8834","1.0000"
"BMS1747","0.8765","0.3136","0.9363","0.6448","1.0000","0.9206","0.9472","0.0833","1.0000","0.4684","0.0319*","1.0000","1.0000","0.7909","0.0392*","0.9892","0.9862"
"BMS1857","0.7780","0.2797","0.9488","0.9373","0.9295","0.9206","0.9472","0.1511","1.0000","0.9370","0.0216*","0.8212","0.5452","1.0000","0.0392*","0.2695","0.9862"
"BMS1862","0.8765","0.0282*","0.9488","0.6560","0.9845","0.9206","0.1056","0.8533","1.0000","0.5310","0.0331*","0.6948","0.3403","0.8236","0.9454","0.7288",NA
"BMS2258","0.4512","1.0000","0.5258","0.9373","0.9295","0.9206","0.9472","1.0000","1.0000","0.7621","0.3943","0.6597","0.9138","0.9265","0.9678","0.9892","1.0000"
"BMS2639","0.4512","0.5519","0.8707","1.0000","0.9845","1.0000","0.9472","0.3818","1.0000","0.7621","0.0216*","0.6948","0.8012","0.8380","0.3462","0.9892","0.5543"
"BMS410","0.8765","0.3136","0.9488","0.9123","0.9845","0.9206","1.0000","1.0000","1.0000","0.9532","0.0143*","0.1666","0.7363","0.8197","0.6102","0.8834","0.8525"
"BMS510","0.8352","0.8533","0.5990","1.0000","0.9295","0.9206","0.9472","0.3078","1.0000","0.7219","0.0123*","0.4420","0.2662","0.1237","0.3042","0.9892","1.0000"
"BMS527","0.7780","0.1097","0.5258","0.9387","0.9295","0.9206","0.9472","0.4300","1.0000","0.9532","0.4129","0.8409","0.8012","0.8236","0.7315","0.5831","1.0000"
"BMS528","0.7780","0.8507","0.7274","0.9123","0.9295","1.0000","0.9472","0.1298","1.0000","0.4684","1.0000","0.2726","0.6734","0.8269","0.9527","0.5831","1.0000"
"BMS601","1.0000","0.8533","0.2781","0.9123","0.9295","0.9611","0.9472","0.4531","1.0000","0.1543","0.0031*","0.3675","0.2613","0.6071","0.4678","0.8834","0.8525"
"BMS812","0.8765","0.1770","0.9977","0.9387","0.9295","0.9740","0.9472","0.3078","1.0000","0.7219","0.0131*","0.8212","0.8012","0.7909","0.1058","0.8093","1.0000"
"BMS941","0.7780","0.8611","0.9488","1.0000","0.9295","0.9206","0.9472","0.6456","1.0000","1.0000","1.0000","0.2582","0.8019","0.7909","0.3042","0.9892","0.5543"
"HUJ246","0.9820","1.0000","1.0000","1.0000","0.9845","0.9206","0.9472","0.1401","1.0000","1.0000","1.0000","0.2582","0.2613","0.6071","0.5716","0.9500","1.0000"
"IL4","0.9820","0.4757","0.3273","0.6448","0.9635","0.9206","1.0000","0.4531","1.0000","0.9370","1.0000","0.2582","0.7419","0.8269","0.1058","0.9892","1.0000"
"ILSTS102","1.0000","1.0000","0.2303",NA,NA,"1.0000","1.0000","0.3078",NA,"0.9532","0.4284","1.0000","0.8111","0.8777","1.0000","0.8834",NA
"INRA037","0.8765","0.3568","0.3273","0.9373","0.9845","0.9206","1.0000","0.3078","1.0000","0.9777","0.0273*","0.6948","0.8111","0.6071","0.7321","0.6084","1.0000"
"INRA133","0.7780","0.1873","0.9488","0.9373","0.9420","0.9206","0.9472","0.3078","1.0000","0.9370","0.0031*","0.2582","0.7107","0.5866","0.5712","0.9892","1.0000"
"INRA194","0.7941","0.5519","0.9072","0.9387","0.9295","0.9206","0.9626","0.3078","1.0000","1.0000","0.0031*","0.6987","0.6734","0.6071","0.3042","0.5831","1.0000"
"RM372","0.9820","0.5675","0.9488","0.9123","0.9845","0.9206","1.0000","1.0000","1.0000","0.0588","0.0216*","1.0000","0.5364","0.7909","0.0866","0.9892","1.0000"
"SPS115","1.0000","1.0000","0.2781","0.9373","1.0000","1.0000","0.9472","0.4300","1.0000","0.9777","0.0216*","0.4474","0.8692","1.0000","0.1960","0.5831","1.0000"
"TGLA122","0.8765","1.0000","0.9488","0.9373","1.0000","0.9206","0.9472","0.4210","1.0000","0.9207","0.0997","0.2582","0.6284","0.1237","0.3042","0.8834","0.9862"
"TGLA44","0.7780","1.0000","0.9488","1.0000","1.0000","0.9206","1.0000","0.3590","1.0000","0.5310","0.6811","0.8212","0.8019","0.6071","0.5712","0.9500","1.0000"
"TGLA53","0.7780","0.6956","0.6547","0.7325","0.9845","1.0000","0.9472","0.4300","1.0000","1.0000","1.0000","0.8409","0.7363","0.6071","0.6590","0.8093","0.9862"
"URB011","0.9404","0.6150","0.9488","1.0000","0.9295","0.9206","0.9472","0.4418","0.2585","0.9532","0.0997","0.2582","0.4178","0.7909","0.4678","0.5831","0.9862"
