"Population","Locus.1","Locus.2","p.value","std.err","switches","p.adj_herd"
"EINPW","BMS1315","TGLA44",3.6e-05,3.6e-05,49354,0.042336
"HZ","BM711","INRA194",0,0,41971,0
"HZ","RM372","URB011",0,0,19488,0
"WBNPHC","BM4440","BMS812",0,0,14456,0
